rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
224,frame_0394.jpg,157.6,0.3087,0.4354,0.25,0.08,6,2,False,False
225,frame_0197.jpg,78.8,0.3078,0.3806,0.125,0.4,1,1,False,False
226,frame_0383.jpg,153.2,0.3034,0.4088,0.25,0.12,7,2,False,False
227,frame_0310.jpg,124.0,0.3015,0.346,0.375,0.08,5,3,False,False
228,frame_0206.jpg,82.4,0.298,0.2169,0.125,0.76,4,1,False,False
229,frame_0226.jpg,90.4,0.2952,0.4243,0.25,0.04,4,2,False,False
230,frame_0092.jpg,36.8,0.293,0.324,0.25,0.28,4,2,False,False
231,frame_0121.jpg,48.4,0.2909,0.2828,0.125,0.56,5,1,False,False
232,frame_0372.jpg,148.8,0.2883,0.3786,0.25,0.12,7,2,False,False
233,frame_0198.jpg,79.2,0.2811,0.3112,0.125,0.44,2,1,False,False
234,frame_0267.jpg,106.8,0.2766,0.3551,0.25,0.12,5,2,False,False
235,frame_0110.jpg,44.0,0.2736,0.3491,0.25,0.12,3,2,False,False
236,frame_0091.jpg,36.4,0.2689,0.3348,0.125,0.32,4,1,False,False
237,frame_0211.jpg,84.4,0.2654,0.1999,0.125,0.64,3,1,False,False
238,frame_0371.jpg,148.4,0.2639,0.3458,0.25,0.08,5,2,False,False
239,frame_0213.jpg,85.2,0.2612,0.2234,0.125,0.56,4,1,False,False
240,frame_0195.jpg,78.0,0.2611,0.3191,0.125,0.32,3,1,False,False
241,frame_0222.jpg,88.8,0.2519,0.2738,0.25,0.2,6,2,False,False
242,frame_0325.jpg,130.0,0.2498,0.3336,0.25,0.04,5,2,False,False
243,frame_0311.jpg,124.4,0.2493,0.4826,0.0,0.04,3,0,False,False
244,frame_0102.jpg,40.8,0.2452,0.2924,0.25,0.12,5,2,False,False
245,frame_0212.jpg,84.8,0.2444,0.2488,0.0,0.6,2,0,False,False
246,frame_0217.jpg,86.8,0.2394,0.2438,0.125,0.4,3,1,False,False
247,frame_0118.jpg,47.2,0.2385,0.226,0.125,0.44,5,1,False,False
248,frame_0204.jpg,81.6,0.2383,0.2045,0.0,0.68,3,0,False,False
249,frame_0196.jpg,78.4,0.2207,0.2224,0.125,0.36,3,1,False,False
250,frame_0190.jpg,76.0,0.218,0.3131,0.125,0.12,4,1,False,False
251,frame_0093.jpg,37.2,0.2156,0.2602,0.125,0.24,6,1,False,False
252,frame_0268.jpg,107.2,0.2151,0.3232,0.125,0.08,6,1,False,False
253,frame_0323.jpg,129.2,0.2047,0.2865,0.125,0.12,6,1,False,False
254,frame_0199.jpg,79.6,0.194,0.1959,0.0,0.48,2,0,False,False
255,frame_0324.jpg,129.6,0.1873,0.2676,0.125,0.08,7,1,False,False
256,frame_0191.jpg,76.4,0.1461,0.2282,0.0,0.16,5,0,False,False
